Name,Type1,Type2,Evolution
abomasnow,Grass,Ice,
abra,Psychic,,kadabra
absol,Dark,,
accelgor,Bug,,
aegislash-blade,Steel,Ghost,
aerodactyl,Rock,Flying,
aggron,Steel,Rock,
aipom,Normal,,
alakazam,Psychic,,
alomomola,Water,,
altaria,Dragon,Flying,
amaura,Rock,Ice,
ambipom,Normal,,
amoonguss,Grass,Poison,
ampharos,Electric,,
anorith,Rock,Bug,
araquanid,Water,Bug,
arbok,Poison,,
arcanine,Fire,,
arceus,Normal,,
archen,Rock,Flying,
archeops,Rock,Flying,
ariados,Bug,Poison,
armaldo,Rock,Bug,
aromatisse,Fairy,,
aron,Steel,Rock,
articuno,Ice,Flying,
audino,Normal,,
aurorus,Rock,Ice,
avalugg,Ice,,
axew,Dragon,,
azelf,Psychic,,
azumarill,Water,Fairy,
azurill,Normal,Fairy,
bagon,Dragon,,
baltoy,Ground,Psychic,
banette,Ghost,,
barbaracle,Rock,Water,
barboach,Water,Ground,
basculin-red-striped,Water,,
bastiodon,Rock,Steel,
bayleef,Grass,,
beartic,Ice,,
beautifly,Bug,Flying,
beedrill,Bug,Poison,
beheeyem,Psychic,,
beldum,Steel,Psychic,
bellossom,Grass,,
bellsprout,Grass,Poison,
bergmite,Ice,,
bewear,Normal,Fighting,
bibarel,Normal,Water,
bidoof,Normal,,
binacle,Rock,Water,
bisharp,Dark,Steel,
blacephalon,Fire,Ghost,
blastoise,Water,,
blaziken,Fire,Fighting,
blissey,Normal,,
blitzle,Electric,,
boldore,Rock,,
bonsly,Rock,,
bouffalant,Normal,,
bounsweet,Grass,,
braixen,Fire,,
braviary,Normal,Flying,
breloom,Grass,Fighting,
brionne,Water,,
bronzong,Steel,Psychic,
bronzor,Steel,Psychic,
bruxish,Water,Psychic,
budew,Grass,Poison,
buizel,Water,,
bulbasaur,Grass,Poison,ivysaur
buneary,Normal,,
bunnelby,Normal,,
burmy,Bug,,
butterfree,Bug,Flying,
buzzwole,Bug,Fighting,
cacnea,Grass,,
cacturne,Grass,Dark,
camerupt,Fire,Ground,
carbink,Rock,Fairy,
carnivine,Grass,,
carracosta,Water,Rock,
carvanha,Water,Dark,
cascoon,Bug,,
castform,Normal,,
caterpie,Bug,,metapod
celebi,Psychic,Grass,
celesteela,Steel,Flying,
chandelure,Ghost,Fire,
chansey,Normal,,
charizard,Fire,Flying,
charjabug,Bug,Electric,
charmander,Fire,,charmeleon
charmeleon,Fire,,charizard
chatot,Normal,Flying,
cherrim,Grass,,
cherubi,Grass,,
chesnaught,Grass,Fighting,
chespin,Grass,,
chikorita,Grass,,
chimchar,Fire,,
chimecho,Psychic,,
chinchou,Water,Electric,
chingling,Psychic,,
cinccino,Normal,,
clamperl,Water,,
clauncher,Water,,
clawitzer,Water,,
claydol,Ground,Psychic,
clefable,Fairy,,
clefairy,Fairy,,clefable
cleffa,Fairy,,
cloyster,Water,Ice,
cobalion,Steel,Fighting,
cofagrigus,Ghost,,
combee,Bug,Flying,
combusken,Fire,Fighting,
comfey,Fairy,,
conkeldurr,Fighting,,
corphish,Water,,
corsola,Water,Rock,
cosmoem,Psychic,,
cosmog,Psychic,,
cottonee,Grass,Fairy,
crabominable,Fighting,Ice,
crabrawler,Fighting,,
cradily,Rock,Grass,
cranidos,Rock,,
crawdaunt,Water,Dark,
cresselia,Psychic,,
croagunk,Poison,Fighting,
crobat,Poison,Flying,
croconaw,Water,,
crustle,Bug,Rock,
cryogonal,Ice,,
cubchoo,Ice,,
cubone,Ground,,
cutiefly,Bug,Fairy,
cyndaquil,Fire,,
darkrai,Dark,,
darmanitan-standard,Fire,,
dartrix,Grass,Flying,
darumaka,Fire,,
decidueye,Grass,Ghost,
dedenne,Electric,Fairy,
deerling,Normal,Grass,
deino,Dark,Dragon,
delcatty,Normal,,
delibird,Ice,Flying,
delphox,Fire,Psychic,
deoxys-normal,Psychic,,
dewgong,Water,Ice,
dewott,Water,,
dewpider,Water,Bug,
dhelmise,Ghost,Grass,
dialga,Steel,Dragon,
diancie,Rock,Fairy,
diggersby,Normal,Ground,
diglett,Ground,,dugtrio
ditto,Normal,,
dodrio,Normal,Flying,
doduo,Normal,Flying,
donphan,Ground,,
doublade,Steel,Ghost,
dragalge,Poison,Dragon,
dragonair,Dragon,,
dragonite,Dragon,Flying,
drampa,Normal,Dragon,
drapion,Poison,Dark,
dratini,Dragon,,
drifblim,Ghost,Flying,
drifloon,Ghost,Flying,
drilbur,Ground,,
drowzee,Psychic,,
druddigon,Dragon,,
ducklett,Water,Flying,
dugtrio,Ground,,
dunsparce,Normal,,
duosion,Psychic,,
durant,Bug,Steel,
dusclops,Ghost,,
dusknoir,Ghost,,
duskull,Ghost,,
dustox,Bug,Poison,
dwebble,Bug,Rock,
eelektrik,Electric,,
eelektross,Electric,,
eevee,Normal,,
ekans,Poison,,arbok
electabuzz,Electric,,
electivire,Electric,,
electrike,Electric,,
electrode,Electric,,
elekid,Electric,,
elgyem,Psychic,,
emboar,Fire,Fighting,
emolga,Electric,Flying,
empoleon,Water,Steel,
entei,Fire,,
escavalier,Bug,Steel,
espeon,Psychic,,
espurr,Psychic,,
excadrill,Ground,Steel,
exeggcute,Grass,Psychic,
exeggutor,Grass,Psychic,
exploud,Normal,,
farfetchd,Normal,Flying,
fearow,Normal,Flying,
feebas,Water,,
fennekin,Fire,,
feraligatr,Water,,
ferroseed,Grass,Steel,
ferrothorn,Grass,Steel,
finneon,Water,,
flaaffy,Electric,,
flabebe,Fairy,,
flareon,Fire,,
fletchinder,Fire,Flying,
fletchling,Normal,Flying,
floatzel,Water,,
floette,Fairy,,
florges,Fairy,,
flygon,Ground,Dragon,
fomantis,Grass,,
foongus,Grass,Poison,
forretress,Bug,Steel,
fraxure,Dragon,,
frillish,Water,Ghost,
froakie,Water,,
frogadier,Water,,
froslass,Ice,Ghost,
furfrou,Normal,,
furret,Normal,,
gabite,Dragon,Ground,
gallade,Psychic,Fighting,
galvantula,Bug,Electric,
garbodor,Poison,,
garchomp,Dragon,Ground,
gardevoir,Psychic,Fairy,
gastly,Ghost,Poison,
gastrodon,Water,Ground,
genesect,Bug,Steel,
gengar,Ghost,Poison,
geodude,Rock,Ground,
gible,Dragon,Ground,
gigalith,Rock,,
girafarig,Normal,Psychic,
giratina-altered,Ghost,Dragon,
glaceon,Ice,,
glalie,Ice,,
glameow,Normal,,
gligar,Ground,Flying,
gliscor,Ground,Flying,
gloom,Grass,Poison,
gogoat,Grass,,
golbat,Poison,Flying,
goldeen,Water,,
golduck,Water,,
golem,Rock,Ground,
golett,Ground,Ghost,
golisopod,Bug,Water,
golurk,Ground,Ghost,
goodra,Dragon,,
goomy,Dragon,,
gorebyss,Water,,
gothita,Psychic,,
gothitelle,Psychic,,
gothorita,Psychic,,
gourgeist-average,Ghost,Grass,
granbull,Fairy,,
graveler,Rock,Ground,
greninja,Water,Dark,
grimer,Poison,,
grotle,Grass,,
groudon,Ground,,
grovyle,Grass,,
growlithe,Fire,,arcanine
grubbin,Bug,,
grumpig,Psychic,,
gulpin,Poison,,
gumshoos,Normal,,
gurdurr,Fighting,,
guzzlord,Dark,Dragon,
gyarados,Water,Flying,
hakamo-o,Dragon,Fighting,
happiny,Normal,,
hariyama,Fighting,,
haunter,Ghost,Poison,
hawlucha,Fighting,Flying,
haxorus,Dragon,,
heatmor,Fire,,
heatran,Fire,Steel,
heliolisk,Electric,Normal,
helioptile,Electric,Normal,
heracross,Bug,Fighting,
herdier,Normal,,
hippopotas,Ground,,
hippowdon,Ground,,
hitmonchan,Fighting,,
hitmonlee,Fighting,,
hitmontop,Fighting,,
honchkrow,Dark,Flying,
honedge,Steel,Ghost,
ho-oh,Fire,Flying,
hoopa-confined,Psychic,Ghost,
hoothoot,Normal,Flying,
hoppip,Grass,Flying,
horsea,Water,,
houndoom,Dark,Fire,
houndour,Dark,Fire,
huntail,Water,,
hydreigon,Dark,Dragon,
hypno,Psychic,,
igglybuff,Normal,Fairy,
illumise,Bug,,
incineroar,Fire,Dark,
infernape,Fire,Fighting,
inkay,Dark,Psychic,
ivysaur,Grass,Poison,venusaur
jangmo-o,Dragon,,
jellicent,Water,Ghost,
jigglypuff,Normal,Fairy,
jirachi,Steel,Psychic,
jolteon,Electric,,
joltik,Bug,Electric,
jumpluff,Grass,Flying,
jynx,Ice,Psychic,
kabuto,Rock,Water,
kabutops,Rock,Water,
kadabra,Psychic,,alakazam
kakuna,Bug,Poison,beedrill
kangaskhan,Normal,,
karrablast,Bug,,
kartana,Grass,Steel,
kecleon,Normal,,
keldeo-ordinary,Water,Fighting,
kingdra,Water,Dragon,
kingler,Water,,
kirlia,Psychic,Fairy,
klang,Steel,,
klefki,Steel,Fairy,
klink,Steel,,
klinklang,Steel,,
koffing,Poison,,
komala,Normal,,
kommo-o,Dragon,Fighting,
